@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric

@data
3810,'2017/06/28 12:13:54:063',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3811,'2017/06/28 12:13:54:081',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3812,'2017/06/28 12:13:54:097',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3813,'2017/06/28 12:13:54:113',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3814,'2017/06/28 12:13:54:128',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3815,'2017/06/28 12:13:54:144',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3816,'2017/06/28 12:13:54:162',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3817,'2017/06/28 12:13:54:182',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3818,'2017/06/28 12:13:54:195',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3819,'2017/06/28 12:13:54:211',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3820,'2017/06/28 12:13:54:231',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3821,'2017/06/28 12:13:54:245',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3822,'2017/06/28 12:13:54:262',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3823,'2017/06/28 12:13:54:280',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3824,'2017/06/28 12:13:54:295',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3825,'2017/06/28 12:13:54:313',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3826,'2017/06/28 12:13:54:328',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3827,'2017/06/28 12:13:54:349',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3828,'2017/06/28 12:13:54:362',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3829,'2017/06/28 12:13:54:378',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3830,'2017/06/28 12:13:54:397',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3831,'2017/06/28 12:13:54:411',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3832,'2017/06/28 12:13:54:429',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3833,'2017/06/28 12:13:54:445',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3834,'2017/06/28 12:13:54:462',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3835,'2017/06/28 12:13:54:478',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3836,'2017/06/28 12:13:54:495',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3837,'2017/06/28 12:13:54:512',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3838,'2017/06/28 12:13:54:530',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3839,'2017/06/28 12:13:54:545',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3840,'2017/06/28 12:13:54:562',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3841,'2017/06/28 12:13:54:578',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3842,'2017/06/28 12:13:54:595',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3843,'2017/06/28 12:13:54:613',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3844,'2017/06/28 12:13:54:628',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3845,'2017/06/28 12:13:54:645',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3846,'2017/06/28 12:13:54:661',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3847,'2017/06/28 12:13:54:679',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3848,'2017/06/28 12:13:54:695',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3849,'2017/06/28 12:13:54:712',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3850,'2017/06/28 12:13:54:730',66,1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
